"ID","ID (Staffing Plan Detail)","Designation (Staffing Plan Detail)","Estimated Cost Per Position (Staffing Plan Detail)","Vacancies (Staffing Plan Detail)","Total Estimated Cost (Staffing Plan Detail)","Current Openings (Staffing Plan Detail)","Current Count (Staffing Plan Detail)","Number Of Positions (Staffing Plan Detail)"
"plan9906","90c025b154","Analyst",55956.0,0,0.0,0,0,0
"plan9905","f9ab800b34","Accountant",138939.0,0,0.0,0,0,0
"plan9904","0d0ebf50fd","Designer",130009.0,0,0.0,0,0,0
"plan9903","3216282aef","Engineer",124542.0,0,0.0,0,0,0
"plan9902","511283e06b","Business Development Manager",51597.0,0,0.0,0,0,0
"plan9901","2adaa1cd86","Designer",64226.0,0,0.0,0,0,0
"plan9900","109ed6ab6e","Software Developer",129299.0,7,905093.0,0,0,7
"plan9880","5547287bcb","Software Developer",76787.0,8,614296.0,0,0,8
"plan9879","df36ef32fe","Project Manager",54802.0,7,383614.0,0,0,7
"plan9878","24b6589e4f","Designer",91660.0,0,0.0,0,0,0
"plan9877","a5ebd09e54","Project Manager",65474.0,0,0.0,0,0,0
"plan9876","2978a98579","Analyst",122839.0,0,0.0,0,0,0
"plan9875","12c43f86a9","Head of Marketing and Sales",112633.0,0,0.0,0,0,0
"plan9872","bbc33487ed","Accountant",50806.0,10,508060.0,0,0,10
"plan9871","b171d249b3","Project Manager",115388.0,0,0.0,0,0,0
"plan9870","6b80224f89","Secretary",83524.0,0,0.0,0,0,0
"plan9869","29ab0543af","Business Development Manager",60415.0,0,0.0,0,0,0
"plan9868","1b873a51d7","Head of Marketing and Sales",114055.0,0,0.0,0,0,0
"plan9866","e46974e361","Head of Marketing and Sales",55706.0,10,557060.0,0,0,10
"plan9865","84e0069436","Analyst",128372.0,5,641860.0,0,0,5
"plan9864","52b8d2b499","Head of Marketing and Sales",78938.0,7,552566.0,0,0,7
"plan9863","fc4ad04f28","Engineer",135427.0,8,1083416.0,0,0,8
"plan9862","4a3c8267bf","Accountant",96146.0,0,0.0,0,0,0
"plan9861","e0aa6f748e","Analyst",102605.0,2,205210.0,0,0,2
"plan9860","2687c7e94f","Head of Marketing and Sales",79194.0,9,712746.0,0,0,9
"plan9858","e758ea5812","Project Manager",56428.0,6,338568.0,0,0,6
"plan9857","35f73f20ed","Business Development Manager",78925.0,4,315700.0,0,0,4
"plan9856","c4590c1811","Secretary",134886.0,4,539544.0,0,0,4
"plan9855","7a780e0cb8","Administrative Officer",134492.0,5,672460.0,0,0,5
"plan9854","303e4ff095","Project Manager",103057.0,0,0.0,0,0,0
"plan9853","ac6bbd7b63","Head of Marketing and Sales",127271.0,4,509084.0,0,0,4
"plan9852","0ac713252e","Software Developer",89751.0,0,0.0,0,0,0
"plan9850","a1b43759dc","Associate",103207.0,9,928863.0,0,0,9
"plan9848","f8448082ee","Researcher",96981.0,0,0.0,0,0,0
"plan9846","670a9fb2c5","Administrative Officer",81580.0,5,407900.0,0,0,5
"plan9845","1599bd8a5e","Associate",98647.0,4,394588.0,0,0,4
