"ID","Department","Company","From Date","Total Estimated Budget","To Date","ID (Staffing Plan Detail)"
"plan2784","Dispatch - 110","10company","2044-03-16",1084448.0,"2044-11-23","4937443584"
"plan2783","Legal - 7","7company","2045-07-12",444708.0,"2045-11-14","19ee874d9b"
"plan2781","Marketing - 1","1company","2043-02-12",1208106.0,"2043-08-29","8aebdea32a"
"plan2779","Marketing - 8","8company","2044-05-07",694826.0,"2044-10-07","fb7f6d5c2e"
"plan2778","Quality Management - 2","2company","2044-11-27",0.0,"2044-11-27","ade109f8ce"
"plan2777","Sales - 114","14company","2043-06-14",0.0,"2044-11-25","5d680ab979"
"plan2773","Legal - 112","12company","2044-04-22",384294.0,"2044-05-23","ff53821cd0"
"plan2772","Operations - 2","2company","2045-05-27",1088872.0,"2045-07-29","22fb675c32"
"plan2770","Purchase - 117","17company","2045-07-26",0.0,"2045-11-29","0ef5638c6e"
"plan2769","Customer Service - 113","13company","2043-08-23",0.0,"2044-10-25","1a3b5415f5"
"plan2768","Human Resources - 3","3company","2044-06-18",0.0,"2044-07-27","88465de146"
"plan2767","Sales - 6","6company","2044-02-21",615430.0,"2044-09-28","801e744acf"
"plan2766","Customer Service - 116","16company","2044-11-24",0.0,"2044-11-27","6e37833b2e"
"plan2765","Quality Management - 2","2company","2045-05-19",0.0,"2045-10-26","8193c9ddac"
"plan2764","Operations - 8","8company","2045-03-14",0.0,"2045-04-14","f84d64c8dc"
"plan2763","Management - 3","3company","2043-11-04",143060.0,"2043-11-08","e49818e10b"
"plan2761","Dispatch - 7","7company","2045-01-05",967989.0,"2045-08-22","a3f5d1e12a"
"plan2760","Operations - 8","8company","2045-05-17",1402480.0,"2045-11-17","ff556a9f02"
"plan2759","Purchase - 115","15company","2045-06-25",0.0,"2045-11-26","ca53f3a899"
"plan2757","Operations - 2","2company","2043-05-07",0.0,"2043-10-07","877de31de6"
"plan2756","Production - 117","17company","2044-01-02",0.0,"2044-05-09","d6a8aedfe1"
"plan2755","Research & Development - 2","2company","2045-04-14",0.0,"2045-10-14","6f57ed705b"
"plan2754","Management - 113","13company","2044-02-28",0.0,"2044-08-28","f07d5351ac"
"plan2753","Research & Development - 4","4company","2044-05-19",1441374.0,"2044-08-24","99929bee00"
"plan2752","Customer Service - 117","17company","2044-03-02",707172.0,"2044-10-12","07eceeaa38"
"plan2751","Dispatch - 116","16company","2045-02-20",971226.0,"2045-06-25","9453f4b2ee"
"plan2750","Production - 1","1company","2043-05-03",252426.0,"2044-07-05","af03b6bf2e"
"plan2749","Legal - 118","18company","2043-08-10",0.0,"2044-09-22","fa74dcbd9c"
"plan2747","Production - 118","18company","2044-07-26",379350.0,"2044-10-28","8d601d9073"
"plan2746","Legal - 118","18company","2043-03-11",1045791.0,"2043-11-11","0edb6b4e7b"
"plan2745","Marketing - 9","9company","2045-06-09",0.0,"2045-08-16","0f63090c37"
"plan2743","Human Resources - 115","15company","2043-08-13",0.0,"2044-10-15","e002246162"
"plan2742","Dispatch - 6","6company","2043-01-20",0.0,"2044-03-23","89f5c71996"
"plan2741","Legal - 4","4company","2044-03-11",0.0,"2044-07-16","92b9e8bc69"
"plan2739","Operations - 4","4company","2045-09-11",0.0,"2045-09-13","04c8cbb289"
"plan2738","Sales - 112","12company","2044-10-06",268770.0,"2044-10-23","21d045a3c9"
"plan2737","Quality Management - 117","17company","2045-09-18",0.0,"2045-11-23","161cc649bc"
"plan2736","Operations - 117","17company","2043-05-06",839630.0,"2043-09-24","2bf24e15b3"
"plan2735","Management - 115","15company","2045-04-26",0.0,"2045-06-27","fb9bb92aa4"
"plan2734","Customer Service - 118","18company","2044-03-25",741152.0,"2044-03-26","dfc27e3677"
"plan2733","Legal - 116","16company","2044-04-15",425049.0,"2044-05-28","3adb088c9b"
"plan2732","Operations - 8","8company","2043-06-01",431874.0,"2043-07-22","f6a3fae067"
"plan2731","Human Resources - 8","8company","2045-02-19",872820.0,"2045-04-19","8185bcc2b4"
"plan2730","","11company","2043-05-22",853890.0,"2044-07-22","8a5deb2822"
"plan2729","Marketing - 3","3company","2043-05-24",518908.0,"2043-07-24","27270feaf0"
"plan2728","Legal - 5","5company","2044-05-25",0.0,"2044-10-28","341b0a811b"
"plan2727","Dispatch - 115","15company","2045-06-06",0.0,"2045-07-19","582466814f"
"plan2725","Human Resources - 9","9company","2044-05-15",0.0,"2044-09-27","e73eb8c745"
"plan2724","Dispatch - 2","2company","2043-07-13",901940.0,"2043-09-29","175b5e69fc"
"plan2723","Management - 2","2company","2043-03-02",0.0,"2044-05-03","0fd4933598"
"plan2722","Purchase - 117","17company","2044-04-28",0.0,"2044-05-28","86c73a7eb5"
"plan2720","Research & Development - 4","4company","2045-01-21",541656.0,"2045-09-27","59ac6ea2b4"
"plan2719","Management - 9","9company","2045-09-11",599269.0,"2045-09-18","145aeb3c22"
"plan2718","Management - 115","15company","2044-08-15",0.0,"2044-08-21","fe6b2c249d"
"plan2717","Purchase - 113","13company","2044-04-05",0.0,"2044-09-10","9a77ca3f21"
"plan2715","Sales - 8","8company","2043-04-03",156554.0,"2043-10-15","e9c16f6057"
"plan2714","Sales - 110","10company","2045-11-01",0.0,"2045-11-04","39a945e97a"
"plan2713","Human Resources - 1","1company","2043-06-29",0.0,"2043-08-29","03364a5f65"
"plan2711","Production - 8","8company","2044-10-22",0.0,"2044-10-24","31d684159f"
"plan2710","Dispatch - 117","17company","2044-02-02",0.0,"2044-03-20","d14de8c1b5"
"plan2708","Customer Service - 5","5company","2044-08-06",1076463.0,"2044-09-17","1f5fadae69"
"plan2707","Customer Service - 1","1company","2043-07-02",296868.0,"2043-08-16","93a4a84a1c"
"plan2706","Research & Development - 7","7company","2044-03-07",961862.0,"2044-05-26","2d191edb09"
"plan2705","Research & Development - 6","6company","2044-10-10",365532.0,"2044-10-28","02869e1983"
"plan2704","Sales - 117","17company","2043-09-07",0.0,"2043-09-12","2c06a56eca"
"plan2703","","11company","2043-03-06",0.0,"2044-08-28","5ce008b517"
"plan2702","Dispatch - 6","6company","2044-03-11",0.0,"2044-07-21","262feb9132"
"plan2701","Quality Management - 110","10company","2043-11-24",564459.0,"2044-11-24","1747e8a4ce"
"plan2700","Dispatch - 116","16company","2045-07-05",448617.0,"2045-08-05","af9d126790"
"plan2699","Purchase - 6","6company","2042-03-10",0.0,"2042-10-13","c41f4befcc"
"plan2698","Customer Service - 1","1company","2042-10-25",0.0,"2042-10-29","804364c409"
"plan2696","Legal - 9","9company","2041-11-15",0.0,"2041-11-22","a9317decf0"
"plan2695","Dispatch - 110","10company","2042-08-21",0.0,"2042-10-26","5195fa9d63"
"plan2693","Management - 112","12company","2043-02-01",327810.0,"2043-03-02","9c19b25600"
"plan2692","Customer Service - 114","14company","2042-06-24",0.0,"2042-08-26","2f183b5215"
"plan2691","Legal - 8","8company","2041-04-21",1022260.0,"2041-06-21","9699a3a1e9"
"plan2690","Quality Management - 118","18company","2043-10-12",638765.0,"2043-11-25","60bda81ddd"
"plan2688","Production - 117","17company","2043-05-15",746856.0,"2043-06-21","d22532471e"
"plan2687","Purchase - 115","15company","2042-07-11",0.0,"2042-08-28","58d03d27c6"
"plan2686","","11company","2043-01-07",0.0,"2043-04-09","6531a0d5ee"
"plan2685","Quality Management - 1","1company","2043-11-11",399966.0,"2043-11-28","dd48b574f6"
