"ID","ID (Staffing Plan Detail)","Vacancies (Staffing Plan Detail)","Total Estimated Cost (Staffing Plan Detail)","Current Openings (Staffing Plan Detail)","Designation (Staffing Plan Detail)","Estimated Cost Per Position (Staffing Plan Detail)","Current Count (Staffing Plan Detail)","Number Of Positions (Staffing Plan Detail)"
"plan2784","4937443584",8,1084448.0,0,"Secretary",135556.0,0,8
"plan2783","19ee874d9b",6,444708.0,0,"Analyst",74118.0,0,6
"plan2781","8aebdea32a",9,1208106.0,0,"Software Developer",134234.0,0,9
"plan2779","fb7f6d5c2e",11,694826.0,0,"Head of Marketing and Sales",63166.0,0,11
"plan2778","ade109f8ce",0,0.0,0,"Designer",99804.0,0,0
"plan2777","5d680ab979",0,0.0,0,"Project Manager",132358.0,0,0
"plan2773","ff53821cd0",3,384294.0,0,"Secretary",128098.0,0,3
"plan2772","22fb675c32",8,1088872.0,0,"Researcher",136109.0,0,8
"plan2770","0ef5638c6e",0,0.0,0,"Software Developer",103764.0,0,0
"plan2769","1a3b5415f5",0,0.0,0,"HR Manager",142611.0,0,0
"plan2768","88465de146",0,0.0,0,"Project Manager",55958.0,0,0
"plan2767","801e744acf",10,615430.0,0,"Secretary",61543.0,0,10
"plan2766","6e37833b2e",0,0.0,0,"Designer",86691.0,0,0
"plan2765","8193c9ddac",0,0.0,0,"Head of Marketing and Sales",90412.0,0,0
"plan2764","f84d64c8dc",0,0.0,0,"HR Manager",100221.0,0,0
"plan2763","e49818e10b",2,143060.0,0,"Software Developer",71530.0,0,2
"plan2761","a3f5d1e12a",11,967989.0,0,"Business Development Manager",87999.0,0,11
"plan2760","ff556a9f02",10,1402480.0,0,"Designer",140248.0,0,10
"plan2759","ca53f3a899",0,0.0,0,"Accountant",58059.0,0,0
"plan2757","877de31de6",0,0.0,0,"Business Development Manager",60418.0,0,0
"plan2756","d6a8aedfe1",0,0.0,0,"HR Manager",84960.0,0,0
"plan2755","6f57ed705b",0,0.0,0,"Project Manager",132669.0,0,0
"plan2754","f07d5351ac",0,0.0,0,"Engineer",60776.0,0,0
"plan2753","99929bee00",11,1441374.0,0,"Project Manager",131034.0,0,11
"plan2752","07eceeaa38",6,707172.0,0,"Associate",117862.0,0,6
"plan2751","9453f4b2ee",9,971226.0,0,"Analyst",107914.0,0,9
"plan2750","af03b6bf2e",3,252426.0,0,"Designer",84142.0,0,3
"plan2749","fa74dcbd9c",0,0.0,0,"HR Manager",53390.0,0,0
"plan2747","8d601d9073",6,379350.0,0,"Project Manager",63225.0,0,6
"plan2746","0edb6b4e7b",9,1045791.0,0,"Designer",116199.0,0,9
"plan2745","0f63090c37",0,0.0,0,"Secretary",69637.0,0,0
"plan2743","e002246162",0,0.0,0,"Analyst",128759.0,0,0
"plan2742","89f5c71996",0,0.0,0,"Researcher",107005.0,0,0
"plan2741","92b9e8bc69",0,0.0,0,"Administrative Officer",102292.0,0,0
"plan2739","04c8cbb289",0,0.0,0,"Head of Marketing and Sales",108681.0,0,0
"plan2738","21d045a3c9",2,268770.0,0,"Engineer",134385.0,0,2
"plan2737","161cc649bc",0,0.0,0,"HR Manager",131018.0,0,0
"plan2736","2bf24e15b3",10,839630.0,0,"Accountant",83963.0,0,10
"plan2735","fb9bb92aa4",0,0.0,0,"Designer",112921.0,0,0
"plan2734","dfc27e3677",8,741152.0,0,"Designer",92644.0,0,8
"plan2733","3adb088c9b",3,425049.0,0,"Secretary",141683.0,0,3
"plan2732","f6a3fae067",3,431874.0,0,"Associate",143958.0,0,3
"plan2731","8185bcc2b4",10,872820.0,0,"Engineer",87282.0,0,10
"plan2730","8a5deb2822",6,853890.0,0,"Accountant",142315.0,0,6
"plan2729","27270feaf0",4,518908.0,0,"Software Developer",129727.0,0,4
"plan2728","341b0a811b",0,0.0,0,"Analyst",97996.0,0,0
"plan2727","582466814f",0,0.0,0,"Project Manager",58263.0,0,0
"plan2725","e73eb8c745",0,0.0,0,"Associate",112029.0,0,0
"plan2724","175b5e69fc",10,901940.0,0,"Analyst",90194.0,0,10
"plan2723","0fd4933598",0,0.0,0,"Engineer",82976.0,0,0
"plan2722","86c73a7eb5",0,0.0,0,"Accountant",110523.0,0,0
"plan2720","59ac6ea2b4",4,541656.0,0,"Designer",135414.0,0,4
"plan2719","145aeb3c22",11,599269.0,0,"Administrative Officer",54479.0,0,11
"plan2718","fe6b2c249d",0,0.0,0,"Project Manager",80020.0,0,0
"plan2717","9a77ca3f21",0,0.0,0,"Business Development Manager",96470.0,0,0
"plan2715","e9c16f6057",2,156554.0,0,"Head of Marketing and Sales",78277.0,0,2
"plan2714","39a945e97a",0,0.0,0,"Project Manager",81857.0,0,0
"plan2713","03364a5f65",0,0.0,0,"Associate",104620.0,0,0
"plan2711","31d684159f",0,0.0,0,"Analyst",141776.0,0,0
"plan2710","d14de8c1b5",0,0.0,0,"Administrative Officer",114321.0,0,0
"plan2708","1f5fadae69",9,1076463.0,0,"Head of Marketing and Sales",119607.0,0,9
"plan2707","93a4a84a1c",2,296868.0,0,"Accountant",148434.0,0,2
"plan2706","2d191edb09",11,961862.0,0,"Secretary",87442.0,0,11
"plan2705","02869e1983",4,365532.0,0,"Engineer",91383.0,0,4
"plan2704","2c06a56eca",0,0.0,0,"Software Developer",61064.0,0,0
"plan2703","5ce008b517",0,0.0,0,"Head of Marketing and Sales",69401.0,0,0
"plan2702","262feb9132",0,0.0,0,"Designer",50340.0,0,0
