"ID","ID (Staffing Plan Detail)","Vacancies (Staffing Plan Detail)","Total Estimated Cost (Staffing Plan Detail)","Designation (Staffing Plan Detail)","Estimated Cost Per Position (Staffing Plan Detail)","Current Count (Staffing Plan Detail)","Number Of Positions (Staffing Plan Detail)","Current Openings (Staffing Plan Detail)"
"plan7245","c90bc7d2a4",0,0.0,"Business Development Manager",128927.0,0,0,0
"plan7238","e90156e3a2",10,509960.0,"Secretary",50996.0,0,10,0
"plan7230","4ca592582a",9,1027890.0,"Accountant",114210.0,0,9,0
"plan7227","c62dcccab4",0,0.0,"HR Manager",120570.0,0,0,0
"plan7223","839d87cf65",6,313536.0,"Accountant",52256.0,0,6,0
"plan7220","1f02ef42e7",0,0.0,"Software Developer",141607.0,0,0,0
"plan7217","29a5bcae95",0,0.0,"Business Development Manager",77253.0,0,0,0
"plan7215","e6bdb7b4e5",0,0.0,"Head of Marketing and Sales",126906.0,0,0,0
"plan7214","2650066d9f",0,0.0,"Accountant",139683.0,0,0,0
"plan7209","d614c67d63",0,0.0,"Engineer",149188.0,0,0,0
"plan7207","b72d398bc3",0,0.0,"Designer",52470.0,0,0,0
"plan7205","11eb167b7d",4,410432.0,"Researcher",102608.0,0,4,0
"plan7204","77882e4059",0,0.0,"Accountant",113627.0,0,0,0
"plan7199","74a6939f3f",0,0.0,"Researcher",73042.0,0,0,0
"plan7197","864e36d9d4",0,0.0,"Engineer",92441.0,0,0,0
"plan7196","d58ce71adb",0,0.0,"Software Developer",136096.0,0,0,0
"plan7195","e5e8e002b4",7,886466.0,"Software Developer",126638.0,0,7,0
"plan7194","65fc8670a7",5,511000.0,"Analyst",102200.0,0,5,0
"plan7193","066d48a882",3,200304.0,"Business Development Manager",66768.0,0,3,0
"plan7192","a78f8dc186",0,0.0,"Project Manager",102934.0,0,0,0
"plan7191","e29fc9ef0f",3,270093.0,"Project Manager",90031.0,0,3,0
"plan7190","111c537af9",0,0.0,"Engineer",139154.0,0,0,0
"plan7189","23eb9dd529",6,330516.0,"Software Developer",55086.0,0,6,0
"plan7185","792d39feb5",0,0.0,"Designer",128852.0,0,0,0
"plan7184","ef977dcd59",0,0.0,"Accountant",75662.0,0,0,0
"plan7183","f759b48120",0,0.0,"Software Developer",128920.0,0,0,0
"plan7182","511f73c957",0,0.0,"Associate",124634.0,0,0,0
"plan7181","f46b7a2020",2,245492.0,"Administrative Officer",122746.0,0,2,0
"plan7180","efe57bf8ba",0,0.0,"Analyst",142833.0,0,0,0
"plan7179","8d3ec84473",3,344793.0,"HR Manager",114931.0,0,3,0
"plan7178","629aa4409d",0,0.0,"Analyst",85692.0,0,0,0
"plan7177","7e204fc001",0,0.0,"Analyst",75671.0,0,0,0
"plan7174","b556e4a2b0",0,0.0,"Researcher",141842.0,0,0,0
"plan7173","dfc8a776ff",0,0.0,"Accountant",95055.0,0,0,0
"plan7171","08c828c6cf",0,0.0,"Accountant",125894.0,0,0,0
"plan7170","7c82ffd62f",4,328552.0,"Associate",82138.0,0,4,0
"plan7169","40286cd255",0,0.0,"Associate",98344.0,0,0,0
"plan7168","959c137ab3",0,0.0,"Designer",79962.0,0,0,0
"plan7165","612b5fc792",7,0.0,"Secretary",0.0,0,7,0
"plan7164","24bc39deb4",0,0.0,"Designer",58430.0,0,0,0
"plan7163","61491ab8e4",5,331965.0,"Engineer",66393.0,0,5,0
"plan7154","19071dc6fe",6,546840.0,"Analyst",91140.0,0,6,0
"plan7152","c3daafc4b4",0,0.0,"Secretary",98755.0,0,0,0
"plan7149","620aeaf82f",0,0.0,"Software Developer",94352.0,0,0,0
"plan7134","233904933c",0,0.0,"Software Developer",133061.0,0,0,0
"plan7127","fdf43a0693",0,0.0,"Engineer",147375.0,0,0,0
"plan7162","ead1c307a7",2,142822.0,"Project Manager",71411.0,0,2,0
"plan7161","c2aca2d1ae",10,1395390.0,"Secretary",139539.0,0,10,0
"plan7160","9ffd1e3477",3,187200.0,"Head of Marketing and Sales",62400.0,0,3,0
"plan7159","69f811e3ba",6,879612.0,"Business Development Manager",146602.0,0,6,0
"plan7158","186d195c36",0,0.0,"Engineer",61778.0,0,0,0
"plan7157","f7e2cc6645",0,0.0,"Accountant",89375.0,0,0,0
"plan7156","859b5f150a",2,110060.0,"Associate",55030.0,0,2,0
"plan7153","9869e194b4",0,0.0,"Administrative Officer",91092.0,0,0,0
"plan7151","abda66cf1e",0,0.0,"Project Manager",87978.0,0,0,0
"plan7150","decd3f78af",0,0.0,"HR Manager",79364.0,0,0,0
"plan7148","68f7d2fcd9",2,294016.0,"Software Developer",147008.0,0,2,0
"plan7147","c90edf86ab",0,0.0,"Accountant",141360.0,0,0,0
"plan7146","a3e1e776e0",7,983367.0,"Researcher",140481.0,0,7,0
"plan7145","262efeeb31",4,555672.0,"Business Development Manager",138918.0,0,4,0
"plan7144","f667e1568f",2,242470.0,"Engineer",121235.0,0,2,0
"plan7143","bd89eab9d8",8,800760.0,"Secretary",100095.0,0,8,0
"plan7142","bea59d4b78",7,590387.0,"Administrative Officer",84341.0,0,7,0
"plan7141","df180fb5f5",3,280428.0,"Project Manager",93476.0,0,3,0
"plan7140","69ba9abbd9",4,492032.0,"Business Development Manager",123008.0,0,4,0
"plan7139","6f547a0cab",11,740278.0,"Business Development Manager",67298.0,0,11,0
"plan7138","6be8a0909e",0,0.0,"Administrative Officer",82955.0,0,0,0
"plan7136","457c9bc3b3",7,775719.0,"Business Development Manager",110817.0,0,7,0
"plan7135","4c17c32744",0,0.0,"Project Manager",136687.0,0,0,0
"plan7133","9016c3b500",3,378474.0,"Associate",126158.0,0,3,0
"plan7132","f2e7461138",4,497768.0,"Head of Marketing and Sales",124442.0,0,4,0
"plan7131","ab403268d8",10,785440.0,"Software Developer",78544.0,0,10,0
"plan7130","7681063560",3,312900.0,"Designer",104300.0,0,3,0
"plan7129","1e7587f767",9,944649.0,"Administrative Officer",104961.0,0,9,0
"plan7128","0160a6b7f0",0,0.0,"Associate",66813.0,0,0,0
"plan7126","13936dca85",5,561350.0,"Head of Marketing and Sales",112270.0,0,5,0
"plan7125","73badd1080",0,0.0,"Analyst",82496.0,0,0,0
"plan7124","df5f284a8b",0,0.0,"Head of Marketing and Sales",70636.0,0,0,0
"plan7122","b87f68a709",9,1098027.0,"Business Development Manager",122003.0,0,9,0
